Designator,Footprint,Quantity,Value,LCSC Part #
"C1_4, C1_3, C1_2, C1, C10_4, C10_3, C10_2, C10, C11_4, C11_3, C11_2, C11, C12_4, C12_3, C12_2, C12, C13_4, C13_3, C13_2, C13, C14_4, C14_3, C14_2, C14, C15_4, C15_3, C15_2, C15, C16_4, C16_3, C16_2, C16, C17_4, C17_3, C17_2, C17, C18_4, C18_3, C18_2, C18, C19_4, C19_3, C19_2, C19, C20_4, C20_3, C20_2, C20, C22_4, C22_3, C22_2, C22, C23_4, C23_3, C23_2, C23, C28_4, C28_3, C28_2, C28, C31_4, C31_3, C31_2, C31, C5_4, C5_3, C5_2, C5, C7_4, C7_3, C7_2, C7, C8_4, C8_3, C8_2, C8, C9_4, C9_3, C9_2, C9",C_0402,80,0.1u,C307331
"C2_4, C2_3, C2_2, C2, C21_4, C21_3, C21_2, C21, C24_4, C24_3, C24_2, C24, C25_4, C25_3, C25_2, C25, C26_4, C26_3, C26_2, C26, C27_4, C27_3, C27_2, C27, C29_4, C29_3, C29_2, C29, C3_4, C3_3, C3_2, C3, C30_4, C30_3, C30_2, C30, C4_4, C4_3, C4_2, C4, C6_4, C6_3, C6_2, C6",C_0402,44,2.2u,C170151
"D1_4, D1_3, D1_2, D1",LED_LiteOn_LTST-C19HE1WT,4,LTST-C19HE1WT,C458749
"D2_4, D2_3, D2_2, D2, D3_4, D3_3, D3_2, D3",0402,8,20V,C145312
"F1_4, F1_3, F1_2, F1",0603,4,Fuse_Small,C210357
"FB1_4, FB1_3, FB1_2, FB1",R_0402,4,BLM15AX601SN1D,C76886
"J1_4, J1_3, J1_2, J1",USB_C_Receptacle_USB4105,4,USB_C_Receptacle_USB2.0,C167321
"KiKit_FID_B_1, KiKit_FID_B_2, KiKit_FID_B_3, KiKit_FID_B_4, KiKit_FID_T_1, KiKit_FID_T_2, KiKit_FID_T_3, KiKit_FID_T_4",Fiducial,8,Fiducial,
"KiKit_TO_1, KiKit_TO_2, KiKit_TO_3, KiKit_TO_4",NPTH,4,NPTH,
"Q1_4, Q1_3, Q1_2, Q1",SOT-563,4,NTZD3155C,C895156
"R1_4, R1_3, R1_2, R1, R13_4, R13_3, R13_2, R13, R15_4, R15_3, R15_2, R15, R28_4, R28_3, R28_2, R28",R_0402,16,17.4k,C26957
"R10_4, R10_3, R10_2, R10, R18_4, R18_3, R18_2, R18, R22_4, R22_3, R22_2, R22, R23_4, R23_3, R23_2, R23, R24_4, R24_3, R24_2, R24, R26_4, R26_3, R26_2, R26",R_0402,24,1Meg,C138033
"R11_4, R11_3, R11_2, R11, R12_4, R12_3, R12_2, R12, R14_4, R14_3, R14_2, R14, R16_4, R16_3, R16_2, R16, R19_4, R19_3, R19_2, R19, R21_4, R21_3, R21_2, R21, R27_4, R27_3, R27_2, R27, R9_4, R9_3, R9_2, R9",R_0402,32,47k,C25792
"R17_4, R17_3, R17_2, R17, R2_4, R2_3, R2_2, R2, R31_4, R31_3, R31_2, R31, R5_4, R5_3, R5_2, R5, R6_4, R6_3, R6_2, R6, R7_4, R7_3, R7_2, R7",R_0402,24,1k,C11702
"R20_4, R20_3, R20_2, R20, R29_4, R29_3, R29_2, R29, R3_4, R3_3, R3_2, R3, R4_4, R4_3, R4_2, R4, R8_4, R8_3, R8_2, R8",R_0402,20,5.1k,C25905
"R25_4, R25_3, R25_2, R25",R_0402,4,15k,C25756
"R30_4, R30_3, R30_2, R30",R_0402,4,0Ω,C17168
"R32_4, R32_3, R32_2, R32, R33_4, R33_3, R33_2, R33",R_0603,8,3.3kΩ 1608,C22978
"SW1_4, SW1_3, SW1_2, SW1, SW2_4, SW2_3, SW2_2, SW2",SW_SPST_TS-1145A,8,TS-1145A-C-B,C465998
"TH3_4, TH3_3, TH3_2, TH3, TH4_4, TH4_3, TH4_2, TH4",,8,Tooling Hole,
"U1_4, U1_3, U1_2, U1, U10_4, U10_3, U10_2, U10, U11_4, U11_3, U11_2, U11, U2_4, U2_3, U2_2, U2, U8_4, U8_3, U8_2, U8, U9_4, U9_3, U9_2, U9",X2-DFN1410-6,24,74LVC1T45FZ4-7,C150482
"U12_4, U12_3, U12_2, U12, U13_4, U13_3, U13_2, U13, U14_4, U14_3, U14_2, U14",DFN-6-1EP_1.2x1.2mm_P0.4mm_EP0.3x0.94mm_PullBack,12,NCP133AMXADJTCG,C457672
"U15_4, U15_3, U15_2, U15",SOIC-8_3.9x4.9mm_P1.27mm,4,FM24V02A-GTR,C382041
"U3_4, U3_3, U3_2, U3",USON-8-3x2mm-EP,4,IS25WP016D-JULE-TR,C2976734
"U4_4, U4_3, U4_2, U4",DFN-16-1EP_1.6x4mm_P0.5mm,4,NUF8401MNT4G,C895158
"U5_4, U5_3, U5_2, U5",PinHeader_2x05_FTSH-105-01-L-DV-K,4,CortexDebug,C448647
"U6_4, U6_3, U6_2, U6",RP2040-QFN-56,4,RP2040,C2040
"U7_4, U7_3, U7_2, U7",SOT-563,4,NUF2042XV6T1G,C90707
"X1_4, X1_3, X1_2, X1",Crystal_SMD_2520-4Pin_2.5x2.0mm,4,12 MHz,C255991
