Designator,Mid X,Mid Y,Rotation,Layer
C1_4,47.7,-32.1,270.0,top
C1_3,23.7,-32.1,270.0,top
C1_2,63.7,-32.1,270.0,top
C1,7.7,-32.1,270.0,top
C10_4,25.5,-31.7,270.0,top
C10_3,65.5,-31.7,270.0,top
C10_2,9.5,-31.7,270.0,top
C10,49.5,-31.7,270.0,top
C11_4,11.6,-21.4,90.0,top
C11_3,27.6,-21.4,90.0,top
C11_2,51.6,-21.4,90.0,top
C11,67.6,-21.4,90.0,top
C12_4,65.1,-21.4,90.0,top
C12_3,49.1,-21.4,90.0,top
C12_2,9.1,-21.4,90.0,top
C12,25.1,-21.4,90.0,top
C13_4,3.5,-30.1,180.0,top
C13_3,19.5,-30.1,180.0,top
C13_2,59.5,-30.1,180.0,top
C13,43.5,-30.1,180.0,top
C14_4,22.8,-19.3,180.0,top
C14_3,6.8,-19.3,180.0,top
C14_2,62.8,-19.3,180.0,top
C14,46.8,-19.3,180.0,top
C15_4,23.5,-39.2,180.0,top
C15_3,47.5,-39.2,180.0,top
C15_2,7.5,-39.2,180.0,top
C15,63.5,-39.2,180.0,top
C16_4,69.3,-36.0,90.0,top
C16_3,53.3,-36.0,90.0,top
C16_2,29.3,-36.0,90.0,top
C16,13.3,-36.0,90.0,top
C17_4,50.2,-34.0,90.0,top
C17_3,66.2,-34.0,90.0,top
C17_2,26.2,-34.0,90.0,top
C17,10.2,-34.0,90.0,top
C18_4,62.8,-34.0,90.0,top
C18_3,6.8,-34.0,90.0,top
C18_2,22.8,-34.0,90.0,top
C18,46.8,-34.0,90.0,top
C19_4,67.6,-34.0,90.0,top
C19_3,11.6,-34.0,90.0,top
C19_2,51.6,-34.0,90.0,top
C19,27.6,-34.0,90.0,top
C2_4,57.65,-37.9,0.0,top
C2_3,1.65,-37.9,0.0,top
C2_2,17.65,-37.9,0.0,top
C2,41.65,-37.9,0.0,top
C20_4,9.2,-34.0,90.0,top
C20_3,65.2,-34.0,90.0,top
C20_2,25.2,-34.0,90.0,top
C20,49.2,-34.0,90.0,top
C21_4,59.55,-38.55,180.0,top
C21_3,3.55,-38.55,180.0,top
C21_2,19.55,-38.55,180.0,top
C21,43.55,-38.55,180.0,top
C22_4,13.2,-26.6,270.0,top
C22_3,53.2,-26.6,270.0,top
C22_2,29.2,-26.6,270.0,top
C22,69.2,-26.6,270.0,top
C23_4,57.3,-20.8,0.0,top
C23_3,41.3,-20.8,0.0,top
C23_2,17.3,-20.8,0.0,top
C23,1.3,-20.8,0.0,top
C24_4,57.825,-34.775,270.0,top
C24_3,1.825,-34.775,270.0,top
C24_2,41.825,-34.775,270.0,top
C24,17.825,-34.775,270.0,top
C25_4,60.65,-35.3,90.0,top
C25_3,44.65,-35.3,90.0,top
C25_2,20.65,-35.3,90.0,top
C25,4.65,-35.3,90.0,top
C26_4,41.7,-40.6,0.0,top
C26_3,1.7,-40.6,0.0,top
C26_2,57.7,-40.6,0.0,top
C26,17.7,-40.6,0.0,top
C27_4,60.55,-39.4,180.0,top
C27_3,4.55,-39.4,180.0,top
C27_2,20.55,-39.4,180.0,top
C27,44.55,-39.4,180.0,top
C28_4,17.3,-21.7,0.0,top
C28_3,57.3,-21.7,0.0,top
C28_2,1.3,-21.7,0.0,top
C28,41.3,-21.7,0.0,top
C29_4,1.325,-30.1,180.0,top
C29_3,17.325,-30.1,180.0,top
C29_2,41.325,-30.1,180.0,top
C29,57.325,-30.1,180.0,top
C3_4,69.2,-28.3,270.0,top
C3_3,13.2,-28.3,270.0,top
C3_2,53.2,-28.3,270.0,top
C3,29.2,-28.3,270.0,top
C30_4,1.325,-31.9,180.0,top
C30_3,41.325,-31.9,180.0,top
C30_2,17.325,-31.9,180.0,top
C30,57.325,-31.9,180.0,top
C31_4,10.25,-11.3,270.0,bottom
C31_3,50.25,-11.3,270.0,bottom
C31_2,26.25,-11.3,270.0,bottom
C31,66.25,-11.3,270.0,bottom
C4_4,10.5,-21.4,90.0,top
C4_3,26.5,-21.4,90.0,top
C4_2,66.5,-21.4,90.0,top
C4,50.5,-21.4,90.0,top
C5_4,12.9,-31.9,180.0,top
C5_3,68.9,-31.9,180.0,top
C5_2,52.9,-31.9,180.0,top
C5,28.9,-31.9,180.0,top
C6_4,26.7,-19.7,90.0,top
C6_3,50.7,-19.7,90.0,top
C6_2,10.7,-19.7,90.0,top
C6,66.7,-19.7,90.0,top
C7_4,64.2,-21.4,90.0,top
C7_3,48.2,-21.4,90.0,top
C7_2,8.2,-21.4,90.0,top
C7,24.2,-21.4,90.0,top
C8_4,28.9,-32.8,180.0,top
C8_3,52.9,-32.8,180.0,top
C8_2,68.9,-32.8,180.0,top
C8,12.9,-32.8,180.0,top
C9_4,48.6,-31.7,270.0,top
C9_3,24.6,-31.7,270.0,top
C9_2,64.6,-31.7,270.0,top
C9,8.6,-31.7,270.0,top
D1_4,52.5,-19.5,270.0,top
D1_3,12.5,-19.5,270.0,top
D1_2,28.5,-19.5,270.0,top
D1,68.5,-19.5,270.0,top
D2_4,0.9,-33.6,270.0,top
D2_3,56.9,-33.6,270.0,top
D2_2,40.9,-33.6,270.0,top
D2,16.9,-33.6,270.0,top
D3_4,45.15,-40.9,90.0,top
D3_3,21.15,-40.9,90.0,top
D3_2,5.15,-40.9,90.0,top
D3,61.15,-40.9,90.0,top
F1_4,58.85,-19.95,270.0,top
F1_3,2.85,-19.95,270.0,top
F1_2,18.85,-19.95,270.0,top
F1,42.85,-19.95,270.0,top
FB1_4,2.525,-31.0,0.0,top
FB1_3,42.525,-31.0,0.0,top
FB1_2,58.525,-31.0,0.0,top
FB1,18.525,-31.0,0.0,top
J1_4,7.0,-14.5,180.0,top
J1_3,47.0,-14.5,180.0,top
J1_2,63.0,-14.5,180.0,top
J1,23.0,-14.5,180.0,top
KiKit_FID_B_1,12.0,-3.85,180.0,bottom
KiKit_FID_B_2,58.0,-3.85,180.0,bottom
KiKit_FID_B_3,12.0,-66.15,180.0,bottom
KiKit_FID_B_4,58.0,-66.15,180.0,bottom
KiKit_FID_T_1,12.0,-3.85,0.0,top
KiKit_FID_T_2,58.0,-3.85,0.0,top
KiKit_FID_T_3,12.0,-66.15,0.0,top
KiKit_FID_T_4,58.0,-66.15,0.0,top
KiKit_TO_1,7.0,-2.5,0.0,top
KiKit_TO_2,63.0,-2.5,0.0,top
KiKit_TO_3,7.0,-67.5,0.0,top
KiKit_TO_4,63.0,-67.5,0.0,top
Q1_4,1.7,-44.9,0.0,top
Q1_3,57.7,-44.9,0.0,top
Q1_2,41.7,-44.9,0.0,top
Q1,17.7,-44.9,0.0,top
R1_4,52.9,-31.0,180.0,top
R1_3,28.9,-31.0,180.0,top
R1_2,68.9,-31.0,180.0,top
R1,12.9,-31.0,180.0,top
R10_4,43.1,-47.0,270.0,top
R10_3,3.1,-47.0,270.0,top
R10_2,59.1,-47.0,270.0,top
R10,19.1,-47.0,270.0,top
R11_4,7.0,-41.575,270.0,top
R11_3,47.0,-41.575,270.0,top
R11_2,63.0,-41.575,270.0,top
R11,23.0,-41.575,270.0,top
R12_4,4.05,-36.95,270.0,top
R12_3,44.05,-36.95,270.0,top
R12_2,20.05,-36.95,270.0,top
R12,60.05,-36.95,270.0,top
R13_4,3.2,-36.95,270.0,top
R13_3,19.2,-36.95,270.0,top
R13_2,59.2,-36.95,270.0,top
R13,43.2,-36.95,270.0,top
R14_4,44.0,-41.1,90.0,top
R14_3,4.0,-41.1,90.0,top
R14_2,20.0,-41.1,90.0,top
R14,60.0,-41.1,90.0,top
R15_4,41.7,-41.5,0.0,top
R15_3,1.7,-41.5,0.0,top
R15_2,17.7,-41.5,0.0,top
R15,57.7,-41.5,0.0,top
R16_4,19.1,-41.1,90.0,top
R16_3,43.1,-41.1,90.0,top
R16_2,59.1,-41.1,90.0,top
R16,3.1,-41.1,90.0,top
R17_4,45.1,-33.6,0.0,top
R17_3,21.1,-33.6,0.0,top
R17_2,5.1,-33.6,0.0,top
R17,61.1,-33.6,0.0,top
R18_4,20.05,-48.55,90.0,top
R18_3,60.05,-48.55,90.0,top
R18_2,44.05,-48.55,90.0,top
R18,4.05,-48.55,90.0,top
R19_4,17.7,-46.7,0.0,top
R19_3,41.7,-46.7,0.0,top
R19_2,1.7,-46.7,0.0,top
R19,57.7,-46.7,0.0,top
R2_4,20.6,-19.3,180.0,top
R2_3,4.6,-19.3,180.0,top
R2_2,60.6,-19.3,180.0,top
R2,44.6,-19.3,180.0,top
R20_4,59.1,-44.8,90.0,top
R20_3,3.1,-44.8,90.0,top
R20_2,19.1,-44.8,90.0,top
R20,43.1,-44.8,90.0,top
R21_4,43.3,-33.25,0.0,top
R21_3,3.3,-33.25,0.0,top
R21_2,19.3,-33.25,0.0,top
R21,59.3,-33.25,0.0,top
R22_4,48.1,-41.3,270.0,top
R22_3,24.1,-41.3,270.0,top
R22_2,8.1,-41.3,270.0,top
R22,64.1,-41.3,270.0,top
R23_4,57.8,-49.1,0.0,top
R23_3,17.8,-49.1,0.0,top
R23_2,1.8,-49.1,0.0,top
R23,41.8,-49.1,0.0,top
R24_4,19.1,-48.75,270.0,top
R24_3,59.1,-48.75,270.0,top
R24_2,3.1,-48.75,270.0,top
R24,43.1,-48.75,270.0,top
R25_4,19.3,-32.35,0.0,top
R25_3,3.3,-32.35,0.0,top
R25_2,43.3,-32.35,0.0,top
R25,59.3,-32.35,0.0,top
R26_4,62.55,-40.35,0.0,top
R26_3,22.55,-40.35,0.0,top
R26_2,6.55,-40.35,0.0,top
R26,46.55,-40.35,0.0,top
R27_4,21.35,-38.15,270.0,top
R27_3,5.35,-38.15,270.0,top
R27_2,61.35,-38.15,270.0,top
R27,45.35,-38.15,270.0,top
R28_4,57.25,-17.7,90.0,top
R28_3,17.25,-17.7,90.0,top
R28_2,41.25,-17.7,90.0,top
R28,1.25,-17.7,90.0,top
R29_4,41.25,-19.4,90.0,top
R29_3,1.25,-19.4,90.0,top
R29_2,57.25,-19.4,90.0,top
R29,17.25,-19.4,90.0,top
R3_4,28.75,-16.85,270.0,top
R3_3,68.75,-16.85,270.0,top
R3_2,12.75,-16.85,270.0,top
R3,52.75,-16.85,270.0,top
R30_4,47.0,-52.3,90.0,bottom
R30_3,63.0,-52.3,90.0,bottom
R30_2,23.0,-52.3,90.0,bottom
R30,7.0,-52.3,90.0,bottom
R31_4,57.8,-50.1,0.0,top
R31_3,41.8,-50.1,0.0,top
R31_2,1.8,-50.1,0.0,top
R31,17.8,-50.1,0.0,top
R32_4,45.525,-26.075,0.0,bottom
R32_3,21.525,-26.075,0.0,bottom
R32_2,5.525,-26.075,0.0,bottom
R32,61.525,-26.075,0.0,bottom
R33_4,21.525,-24.425,0.0,bottom
R33_3,45.525,-24.425,0.0,bottom
R33_2,5.525,-24.425,0.0,bottom
R33,61.525,-24.425,0.0,bottom
R4_4,28.75,-14.85,270.0,top
R4_3,68.75,-14.85,270.0,top
R4_2,12.75,-14.85,270.0,top
R4,52.75,-14.85,270.0,top
R5_4,29.1,-23.1,270.0,top
R5_3,69.1,-23.1,270.0,top
R5_2,13.1,-23.1,270.0,top
R5,53.1,-23.1,270.0,top
R6_4,69.2,-24.9,270.0,top
R6_3,29.2,-24.9,270.0,top
R6_2,13.2,-24.9,270.0,top
R6,53.2,-24.9,270.0,top
R7_4,12.5,-21.4,270.0,top
R7_3,68.5,-21.4,270.0,top
R7_2,52.5,-21.4,270.0,top
R7,28.5,-21.4,270.0,top
R8_4,12.9,-33.7,180.0,top
R8_3,52.9,-33.7,180.0,top
R8_2,28.9,-33.7,180.0,top
R8,68.9,-33.7,180.0,top
R9_4,6.1,-41.575,90.0,top
R9_3,62.1,-41.575,90.0,top
R9_2,46.1,-41.575,90.0,top
R9,22.1,-41.575,90.0,top
SW1_4,42.0,-26.1,90.0,top
SW1_3,2.0,-26.1,90.0,top
SW1_2,18.0,-26.1,90.0,top
SW1,58.0,-26.1,90.0,top
SW2_4,23.0,-51.6,180.0,top
SW2_3,7.0,-51.6,180.0,top
SW2_2,47.0,-51.6,180.0,top
SW2,63.0,-51.6,180.0,top
TH3_4,52.5,-52.0,90.0,top
TH3_3,12.5,-52.0,90.0,top
TH3_2,68.5,-52.0,90.0,top
TH3,28.5,-52.0,90.0,top
TH4_4,29.0,-11.0,90.0,top
TH4_3,69.0,-11.0,90.0,top
TH4_2,53.0,-11.0,90.0,top
TH4,13.0,-11.0,90.0,top
U1_4,12.1,-37.8,180.0,top
U1_3,52.1,-37.8,180.0,top
U1_2,68.1,-37.8,180.0,top
U1,28.1,-37.8,180.0,top
U10_4,7.1,-37.8,180.0,top
U10_3,23.1,-37.8,180.0,top
U10_2,47.1,-37.8,180.0,top
U10,63.1,-37.8,180.0,top
U11_4,6.1,-35.8,180.0,top
U11_3,62.1,-35.8,180.0,top
U11_2,22.1,-35.8,180.0,top
U11,46.1,-35.8,180.0,top
U12_4,3.175,-34.75,90.0,top
U12_3,59.175,-34.75,90.0,top
U12_2,43.175,-34.75,90.0,top
U12,19.175,-34.75,90.0,top
U13_4,57.7,-39.15,90.0,top
U13_3,17.7,-39.15,90.0,top
U13_2,41.7,-39.15,90.0,top
U13,1.7,-39.15,90.0,top
U14_4,1.7,-36.635,90.0,top
U14_3,17.7,-36.635,90.0,top
U14_2,41.7,-36.635,90.0,top
U14,57.7,-36.635,90.0,top
U15_4,47.0,-14.05,90.0,bottom
U15_3,23.0,-14.05,90.0,bottom
U15_2,7.0,-14.05,90.0,bottom
U15,63.0,-14.05,90.0,bottom
U2_4,11.1,-35.8,180.0,top
U2_3,27.1,-35.8,180.0,top
U2_2,67.1,-35.8,180.0,top
U2,51.1,-35.8,180.0,top
U3_4,61.7,-21.0,0.0,top
U3_3,5.7,-21.0,0.0,top
U3_2,21.7,-21.0,0.0,top
U3,45.7,-21.0,0.0,top
U4_4,26.8,-40.6,180.0,top
U4_3,50.8,-40.6,180.0,top
U4_2,66.8,-40.6,180.0,top
U4,10.8,-40.6,180.0,top
U5_4,24.0,-45.8,0.0,top
U5_3,48.0,-45.8,0.0,top
U5_2,64.0,-45.8,0.0,top
U5,8.0,-45.8,0.0,top
U6_4,8.4,-26.6,0.0,top
U6_3,48.4,-26.6,0.0,top
U6_2,24.4,-26.6,0.0,top
U6,64.4,-26.6,0.0,top
U7_4,65.1,-19.3,180.0,top
U7_3,9.1,-19.3,180.0,top
U7_2,49.1,-19.3,180.0,top
U7,25.1,-19.3,180.0,top
U8_4,25.6,-37.8,180.0,top
U8_3,49.6,-37.8,180.0,top
U8_2,9.6,-37.8,180.0,top
U8,65.6,-37.8,180.0,top
U9_4,24.6,-35.8,180.0,top
U9_3,64.6,-35.8,180.0,top
U9_2,48.6,-35.8,180.0,top
U9,8.6,-35.8,180.0,top
X1_4,5.8,-31.9,0.0,top
X1_3,61.8,-31.9,0.0,top
X1_2,45.8,-31.9,0.0,top
X1,21.8,-31.9,0.0,top
